code,packaging,found,PETE,PET,HDPE,PEHD,PVC,LDPE,PEBD,PP,PS,PC,OTHER,♳,U+2673,♴,U+2674,♵,U+2675,♶,U+2676,♷,U+2677,♸,U+2678,♹,U+2679
121358,"2 HDPE,Nampak","HDPE, ",-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
122061,"Plastic,Goblet,Cup,PP,Fresh,♷","PP, ♷, ",-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1
16000141568,"Cup,Gobelet,plastique,LDPE","LDPE, ",-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
264224,"Plastic,Bottle,01 PET","PET, ",-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31014842287,10% PCW,"PC, ",-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50255021008,05 PP,"PP, ",-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50255025006,05 PP,"PP, ",-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52600312755,"Pot,Plastique,PET,PETE,1","PETE, PET, ",18,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52600412752,"Pot,Plastique,PET,PETE,1","PETE, PET, ",18,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
66613185084,"Aluminium Can,PP Wrapper","PP, ",-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
689243,"Bouteille,Plastique,1,PET","PET, ",-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70475659713,"Fresh,Plastic,Plastic Wrap,PETE,1,Plastic Film","PETE, PET, ",27,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0089686170085,"Plastic,Bag,05 PP,♷","PP, ♷, ",-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1
0089782014788,"plastic,♹","♹, ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1
